姓名,性别,民族,身份证,出生日期,手机号码,邮箱,家庭住址
终馨,女,珞巴族,0,-1389684558,13488888880,3q3yak2s@live.com,滕县路115号-13-5-0
笪强明,男,柯尔克孜族,1,-1977697926,13588888881,xjlr4eu@msn.com,滕县路115号-13-5-0
牛琴瑗,女,傈僳族,2,-2083652777,13688888882,zkckyiy2@163.com,春城街147号-9-8-2
武珠,女,畲族,3,-1346362562,13788888883,6p9fajaq@ask.com,春城街147号-9-8-2
陶风盛,男,哈萨克族,4,-2130920450,13888888884,rq74g@yahoo.com.cn,湛山三路89号-17-7-4
范庆,男,阿昌族,5,-1362270889,13988888885,kc6zgrk@gmail.com,湛山三路89号-17-7-4
平育佳,女,独龙族,6,-1665888035,15088888886,h5idy5lo@qq.com,澳门五路51号-3-10-6
甄华,女,满族,7,-1085510560,15188888887,hwaahn@hotmail.com,澳门五路51号-3-10-6
乜蓓苑,女,俄罗斯族,8,-1056300437,15288888888,qhbv102n@googlemail.com,龙口街52号-6-10-8
南薇霭,女,水族,9,-1184544899,15788888889,idecqizw@hotmail.com,龙口街52号-6-10-8
武强榕,男,东乡族,10,-1930412749,15888888810,sto9f8o@126.com,祚山路55号-11-9-10
竺伦,男,藏族,11,-1741195303,15988888811,x4p2l@yahoo.com.cn,祚山路55号-11-9-10
经君,女,羌族,12,-2147483648,13088888812,lu2jm@googlemail.com,锦州街114号-12-6-12
宁珍荷,女,达斡尔族,13,-1939492430,13188888813,q3zcer@163.com,锦州街114号-12-6-12
宰宜露,女,朝鲜族,14,-1432759318,13288888814,2rpvck@qq.com,珠海街35号-4-2-14
房巧柔,女,土家族,15,-2147483648,15588888815,n1h96oq@263.net,珠海街35号-4-2-14
政炎,男,纳西族,16,-2147483648,15688888816,8tv9fjii@126.com,普集支路131号-13-3-16
巩飞鸣,男,塔吉克族,17,-2147483648,13388888817,fta2bjvt@yahoo.com,普集支路131号-13-3-16
鄂会,男,东乡族,18,-1464144187,15388888818,8cxk8@sohu.com,莱芜二路56号-13-7-18
邓晓娴,女,蒙古族,19,-1793018104,13488888819,mh58t@263.net,莱芜二路56号-13-7-18
能行,男,鄂伦春族,20,-2147483648,13588888820,frozm@163.com,吴县二大厦32号-13-5-20
武先民,男,赫哲族,21,-1781205815,13688888821,n0yrsts@googlemail.com,吴县二大厦32号-13-5-20
史仁善,男,傣族,22,-2147483648,13788888822,2t0xj@hotmail.com,双元大厦141号-19-3-22
国眉,女,纳西族,23,-2029276483,13888888823,9lu52yvg@live.com,双元大厦141号-19-3-22
年勇,男,俄罗斯族,24,-1544138860,13988888824,9hvlw@qq.com,阳信路32号-6-1-24
钱岚,女,珞巴族,25,-2147483648,15088888825,54u4qxd@yahoo.com.cn,阳信路32号-6-1-24
井泰,男,满族,26,-1480712428,15188888826,67ql963@aol.com,钜野广场15号-3-1-26
池滢环,女,彝族,27,-2147483648,15288888827,698hz0@yahoo.com.cn,钜野广场15号-3-1-26
王薇惠,女,土族,28,-2147483648,15788888828,026xl8ka@msn.com,团岛路128号-2-10-28
乐茗婵,女,土家族,29,-1276827182,15888888829,p04f6m@gmail.com,团岛路128号-2-10-28
暴滢,女,维吾尔族,30,-2147483648,15988888830,rdl5i8z@3721.net,福州南路23号-5-1-30
有思安,男,东乡族,31,-1420972937,13088888831,xm4b4shi@3721.net,福州南路23号-5-1-30
於斌全,男,傈僳族,32,-2147483648,13188888832,ztj4j72e@3721.net,鱼台街64号-17-9-32
陆毅,男,独龙族,33,-2147483648,13288888833,7bg35@3721.net,鱼台街64号-17-9-32
元华菊,女,鄂伦春族,34,-1702548742,15588888834,exbx8w4k@hotmail.com,台东六路62号-11-3-34
容贞,女,俄罗斯族,35,-1686658743,15688888835,n2ov6@263.net,台东六路62号-11-3-34
伯松,男,景颇族,36,-1475169188,13388888836,rn46l@sina.com,观象二路81号-19-7-36
诸媛丽,女,高山族,37,-1933141882,15388888837,e3hljvuq@ask.com,观象二路81号-19-7-36
金悦,女,京族,38,-2147483648,13488888838,a70sq3ha@qq.com,盐城街106号-17-6-38
巴富新,男,哈萨克族,39,-1959352272,13588888839,ajuq8qc@yeah.net,盐城街106号-17-6-38
古达浩,男,傈僳族,40,-2147483648,13688888840,zus4u60@ask.com,宁国路43号-8-3-40
相士,男,满族,41,-2147483648,13788888841,cuafebr@hotmail.com,宁国路43号-8-3-40
空翠,女,德昂族,42,-1280160337,13888888842,3cc5to@msn.com,昆明路24号-16-6-42
廖芸爽,女,蒙古族,43,-2147483648,13988888843,ba4bm4o@163.com,昆明路24号-16-6-42
暨昌奇,男,锡伯族,44,-2147483648,15088888844,ft58yr@ask.com,秀湛四路98号-1-4-44
卜纨茜,女,回族,45,-1711115278,15188888845,vyj8ty@sohu.com,秀湛四路98号-1-4-44
