身份证号,酒店名称,入住时间,入住房号,退房时间,入住城市
501,顺城路酒店,1483687084,717,1483707084,台州
573,顺城路酒店,1483687084,717,1483707084,台州
637,冠县支广场酒店,1403169133,305,1403189133,拉萨
975,冠县支广场酒店,1403169133,305,1403189133,拉萨
961,冠县支广场酒店,1403169133,305,1403189133,拉萨
433,新疆路酒店,1492113735,359,1492133735,河源
170,新疆路酒店,1492113735,359,1492133735,河源
466,兰山路酒店,1412144087,711,1412164087,益阳
556,兰山路酒店,1412144087,711,1412164087,益阳
239,兰山路酒店,1412144087,711,1412164087,益阳
653,长安南路酒店,1450971263,875,1450991263,新乡
449,长安南路酒店,1450971263,875,1450991263,新乡
795,芝泉路酒店,1402965206,329,1402985206,南宫
287,芝泉路酒店,1402965206,329,1402985206,南宫
170,芝泉路酒店,1402965206,329,1402985206,南宫
538,文登广场酒店,1409949250,194,1409969250,麻城
16,泰城街酒店,1426146787,836,1426166787,天水
494,龙口街酒店,1452603884,964,1452623884,龙岩
863,龙口街酒店,1452603884,964,1452623884,龙岩
267,大尧二路酒店,1421678653,167,1421698653,南宫
64,博山大厦酒店,1489597496,605,1489617496,宜宾
225,费县路酒店,1488160228,867,1488180228,邹城
253,费县路酒店,1488160228,867,1488180228,邹城
561,费县路酒店,1488160228,867,1488180228,邹城
232,嘉义街酒店,1482217978,521,1482237978,益阳
67,嘉义街酒店,1482217978,521,1482237978,益阳
488,浦口广场酒店,1477657879,173,1477677879,荆州
816,台西纬五路酒店,1485886831,256,1485906831,松滋
605,台西纬五路酒店,1485886831,256,1485906831,松滋
13,台西纬五路酒店,1485886831,256,1485906831,松滋
869,澳门六广场酒店,1469038463,250,1469058463,桐乡
55,澳门六广场酒店,1469038463,250,1469058463,桐乡
503,澳门六广场酒店,1469038463,250,1469058463,桐乡
304,国城路酒店,1444010186,695,1444030186,花莲
707,兴安支街酒店,1459918324,177,1459938324,长沙
599,招远街酒店,1428460236,963,1428480236,永康
725,武定路酒店,1448817977,458,1448837977,舒兰
829,锦州支街酒店,1492707655,420,1492727655,滁州
444,绍兴广场酒店,1447638859,204,1447658859,铁门关
489,绍兴广场酒店,1447638859,204,1447658859,铁门关
551,绍兴广场酒店,1447638859,204,1447658859,铁门关
822,兴安支街酒店,1435021552,306,1435041552,台州
418,兴安支街酒店,1435021552,306,1435041552,台州
264,兴安支街酒店,1435021552,306,1435041552,台州
996,绣城路酒店,1481193023,339,1481213023,湛江
926,绣城路酒店,1481193023,339,1481213023,湛江
51,招远街酒店,1412227718,355,1412247718,景德镇
