主叫,被叫,通话时间,通话时长,通话类型
13588888419,15788888997,1438345669,790,本地
13588888419,15788888579,1434202300,550,本地
13588888419,15388888894,1467258123,376,本地
13588888419,13688888610,1425430306,2554,本地
13588888419,15088888443,1463080179,2116,本地
13588888419,15288888768,1483061653,1246,本地
13588888419,13288888242,1434424659,2001,本地
13588888419,13188888678,1435210533,961,本地
13588888419,13688888116,1451940230,2911,本地
13588888419,15588888509,1414936565,1910,本地
13588888419,13288888204,1411659951,748,本地
13588888419,15788888370,1476822782,236,本地
13588888419,15388888911,1479023926,1102,本地
13588888419,13088888696,1458080923,1464,本地
13588888419,15888888637,1419077862,1119,本地
13588888419,13188888165,1477144642,943,本地
13588888419,15688888624,1481518903,3177,本地
13588888419,13288888394,1425628901,713,本地
13588888419,13188888906,1472758799,1323,本地
13588888419,15288888901,1428201902,3036,本地
13588888419,15288888255,1416919727,1048,本地
13588888419,13788888611,1423174333,2800,本地
13588888419,15788888902,1443073739,2125,本地
13588888419,15088888481,1404649602,3082,本地
13588888419,15788888769,1405418199,3061,本地
13588888419,15288888635,1456461788,559,本地
13588888419,15888888941,1412765204,11,本地
13588888419,15788888807,1467385277,2899,本地
13588888419,13988888881,1442999872,1224,本地
13588888419,13888888764,1459260354,3598,本地
13588888419,13388888587,1483037597,1581,本地
13588888419,13588888818,1444053233,316,本地
13588888419,15088888272,1420297188,1834,本地
13588888419,13088888487,1453637560,913,本地
13588888419,15688888567,1438146456,58,本地
13588888419,15588888889,1465600018,1930,本地
13588888419,15288888274,1449136198,3335,本地
13588888419,13388888435,1458620243,3444,本地
13588888419,15088888120,1474394572,2912,本地
13588888419,15588888984,1410044453,1629,本地
13588888419,13788888554,1429433164,124,本地
13588888419,15188888672,1456642828,3096,本地
13588888419,13288888432,1444999074,3000,本地
13588888419,13188888279,1455794851,2456,本地
13588888419,15988888524,1415422142,2074,本地
13588888419,15588888129,1456380741,1647,本地
13588888419,15688888835,1477368651,1967,本地
13588888419,13388888188,1408929671,2255,本地
13588888419,13188888697,1430779916,3045,本地
13588888419,15188888273,1446029430,1699,本地
13588888419,13388888283,1443698693,1650,本地
13588888419,15388888987,1453986514,911,本地
13588888419,13988888841,1475559689,1277,本地
13588888419,15988888296,1426086536,3584,本地
13588888419,15388888303,1484591812,2222,本地
13588888419,15588888471,1420842424,1701,本地
13588888419,15688888624,1437438184,3139,本地
13588888419,15388888417,1480302659,2722,本地
13588888419,15588888834,1414812689,3598,本地
13588888419,15188888349,1447203070,1717,本地
13588888419,15588888528,1404961810,10,本地
13588888419,13588888896,1400313041,809,本地
13588888419,13888888251,1465559981,367,本地
13588888419,15388888303,1425313731,3151,本地
13588888419,13588888881,1485301171,2383,本地
13588888419,15888888238,1414793528,2005,本地
13588888419,13188888678,1409330359,883,本地
13588888419,13088888905,1422798028,2669,本地
13588888419,13988888138,1407815210,671,本地
13588888419,15788888693,1414573334,2111,本地
13588888419,13888888593,1491496170,1537,本地
13588888419,15988888847,1430154942,3245,本地
13588888419,13688888363,1458369400,3239,本地
13588888419,13588888628,1420074195,1145,本地
13588888419,15988888543,1400413789,2502,本地
13588888419,15188888159,1432924951,312,本地
13588888419,13488888893,1460823782,1393,本地
13588888419,13288888584,1425331167,2428,本地
13588888419,15088888844,1442392476,1341,本地
13588888419,15288888369,1466735471,2729,本地
13588888419,13088888962,1424236935,2861,本地
13588888419,15988888277,1470807209,1663,本地
13588888419,15088888405,1437336131,2314,本地
13588888761,15188888883,1401282299,3273,本地
13588888761,15588888471,1432848166,2716,本地
13588888761,15088888844,1441900365,1113,本地
13588888761,13688888325,1494405853,302,本地
13588888761,13588888837,1460463871,3026,本地
13588888761,13188888488,1457412621,756,本地
13588888761,15188888938,1431883629,2598,本地
13588888761,15388888683,1490108949,1339,本地
13588888761,15788888940,1407957802,1910,本地
13588888761,13988888157,1448398757,3573,本地
13588888761,15888888867,1430918967,746,本地
13588888761,13588888590,1467023768,155,本地
13588888761,13788888611,1403818813,1671,本地
13588888761,15088888291,1449562474,1200,本地
13588888761,13188888813,1408614804,1734,本地
13588888761,15688888548,1459346447,211,本地
13588888761,15588888471,1482013952,942,本地
13588888761,13388888986,1473621788,3146,本地
13588888761,13888888842,1464685063,3202,本地
13588888761,13888888365,1430765019,2698,本地
13588888761,15188888501,1423812291,164,本地
13588888761,13988888328,1483110648,1294,本地
13588888761,13388888359,1482867526,1638,本地
13588888761,13388888226,1474821638,968,本地
13588888761,13888888783,1404104952,2715,本地
13588888761,15088888310,1479108746,1107,本地
13588888761,15388888360,1414333127,187,本地
13588888761,13588888229,1440626521,1809,本地
13588888761,13988888862,1445004780,2948,本地
13588888761,13188888832,1458392709,2548,本地
13588888761,15988888849,1491417379,847,本地
13588888761,13888888574,1430147455,2114,本地
13588888761,13588888362,1448686644,2997,本地
13588888761,15788888503,1472434562,3320,本地
13588888761,13088888981,1420377522,1827,本地
13588888761,15188888862,1438930419,1172,本地
13588888761,13388888150,1410187991,596,本地
13588888761,13988888594,1428181084,1001,本地
13588888761,15988888353,1415889751,191,本地
13588888761,15788888180,1474440295,471,本地
13588888761,13988888841,1446835138,2321,本地
13588888761,15288888996,1416490702,255,本地
13588888761,13188888146,1472772667,822,本地
13588888761,15888888922,1421591937,1230,本地
13588888761,15288888597,1417676318,2708,本地
13588888761,15888888200,1412079131,3466,本地
13588888761,15188888425,1422607707,1294,本地
13588888761,15988888524,1409670922,14,本地
13588888761,13788888725,1447213411,3423,本地
13588888761,13988888860,1459762399,3561,本地
13588888761,15288888179,1494190806,2160,本地
13588888761,13288888584,1481663448,1636,本地
13588888761,13288888128,1467208167,341,本地
13588888761,15588888872,1465140347,2265,本地
13588888761,15088888348,1424925816,3294,本地
13588888761,13588888820,1457833567,1209,本地
13588888761,13388888606,1461650457,166,本地
13588888761,13288888413,1422031846,2508,本地
13588888761,13188888887,1462349971,1653,本地
13588888761,13188888241,1425038418,3049,本地
13588888761,15688888985,1411392192,3419,本地
13588888761,13788888782,1416192860,35,本地
13588888761,13688888821,1403858354,3169,本地
13588888761,13588888495,1402876565,1346,本地
13588888761,15788888332,1439246210,2841,本地
13588888761,13088888373,1444518922,140,本地
13588888761,13788888860,1470831469,1316,本地
13588888761,15188888862,1417416254,2876,本地
13588888761,15388888778,1441762732,504,本地
13588888761,15888888352,1406986724,200,本地
13588888761,15688888396,1481843105,1465,本地
13588888761,15188888558,1487452175,511,本地
13588888761,15388888664,1458318222,1080,本地
13588888761,15588888834,1477446297,1619,本地
13588888761,13788888573,1434900136,2304,本地
13588888761,15688888510,1433141590,1140,本地
13588888761,15188888864,1456175805,723,本地
13588888761,13788888649,1456529751,833,本地
15088888234,15788888389,1445174882,606,本地
15088888234,13888888897,1462162340,2651,本地
15088888234,13988888993,1429232451,3265,本地
15088888234,13688888572,1464019596,2353,本地
15088888234,13288888527,1462948396,287,本地
15088888234,13088888145,1490266187,1643,本地
15088888234,13488888551,1413088213,865,本地
15088888234,13688888154,1407541883,2889,本地
15088888234,13688888439,1416526122,2814,本地
15088888234,13988888955,1454149880,2687,本地
15088888234,15388888892,1493972051,2036,本地
15088888234,15788888275,1456242848,3114,本地
15088888234,13088888867,1445331625,757,本地
15088888234,15888888580,1442988256,3398,本地
15088888234,15288888407,1427394133,2504,本地
15088888234,13788888687,1451042070,1252,本地
15088888234,13988888537,1483189071,1714,本地
15088888234,15288888464,1407830912,65,本地
15088888234,15888888713,1423992137,2096,本地
15088888234,13788888858,1424136587,443,本地
15088888234,13888888899,1445424205,1275,本地
15088888234,13988888936,1458144329,2623,本地
15088888234,15588888281,1477143906,866,本地
15088888234,15288888122,1463038619,1853,本地
15088888234,15888888903,1419024806,2973,本地
15088888234,15088888291,1402702918,1671,本地
15088888234,15288888103,1463854592,2328,本地
15088888234,15988888942,1411160127,2530,本地
15088888234,13688888572,1428620207,2071,本地
15088888234,13788888250,1481500749,332,本地
15088888234,15088888481,1408061138,2130,本地
15088888234,15588888376,1434431579,3509,本地
15088888234,15788888579,1483806219,1775,本地
15088888234,13488888857,1424745855,2003,本地
15088888234,15388888227,1447234253,2485,本地
15088888234,15888888181,1477064741,2264,本地
15088888234,15388888227,1445016275,2064,本地
15088888234,15588888718,1463838968,364,本地
15088888234,15688888871,1435880646,181,本地
15088888234,15588888129,1416069400,1957,本地
15088888234,15888888770,1412627243,2791,本地
15088888234,13188888127,1486596538,930,本地
15088888234,15388888664,1421002304,1050,本地
15088888234,15888888447,1462190955,2577,本地
15088888234,13088888582,1423043958,2557,本地
15088888234,15788888104,1429991299,230,本地
15088888234,13088888468,1468607405,3323,本地
15088888234,15188888501,1484769628,1064,本地
15088888234,15688888586,1414612515,875,本地
15088888234,15688888567,1400547240,377,本地
15088888234,15388888835,1489949621,971,本地
15088888234,15188888102,1454145237,3195,本地
15088888234,13088888373,1437376583,1303,本地
15088888234,15588888376,1462266023,1264,本地
15088888234,15688888833,1437726820,1522,本地
15088888234,15088888863,1404510346,711,本地
15188888919,13988888575,1427134859,3266,本地
15188888919,13088888468,1460980903,3508,本地
15188888919,13188888887,1402084016,873,本地
15188888919,13088888354,1440765435,278,本地
15188888919,13588888858,1476158620,389,本地
15188888919,15188888729,1460304273,1672,本地
15188888919,15188888710,1441355232,2642,本地
15188888919,13888888441,1429914878,1995,本地
15188888919,13388888891,1463579286,2142,本地
15188888919,15888888599,1401922782,2770,本地
15188888919,15388888892,1407000408,1315,本地
15188888919,15688888757,1436155722,212,本地
15188888919,15688888814,1470544317,1201,本地
15188888919,15688888586,1442023669,3403,本地
15188888919,15788888864,1407786861,175,本地
15188888919,13288888717,1447941100,1574,本地
15188888919,13788888668,1463025516,2385,本地
15188888919,13088888601,1462412677,693,本地
15188888919,15688888130,1438646447,1481,本地
15188888919,13688888914,1426016444,1663,本地
15188888919,13788888744,1463722797,3061,本地
15188888919,13888888232,1437125752,3397,本地
15188888919,15288888540,1456376968,237,本地
15188888919,13788888459,1449865799,1062,本地
15188888919,13788888326,1448623296,2785,本地
15188888919,15688888757,1419114178,1154,本地
15188888919,13888888213,1426765441,1535,本地
15188888919,15188888539,1435970044,29,本地
15188888919,13488888912,1417117124,2339,本地
15188888919,15088888424,1485737213,1300,本地
15188888919,13088888753,1417252284,535,本地
15188888919,13888888897,1405886330,2692,本地
15188888919,13888888878,1458429855,3520,本地
15188888919,15288888863,1400268278,2980,本地
15188888919,15088888614,1426447688,1540,本地
15188888919,15688888168,1414703001,1452,本地
15188888919,13588888590,1463899545,386,本地
15188888919,13988888651,1454637786,1821,本地
15188888919,15988888771,1451421578,2642,本地
15188888919,13588888267,1481457515,3020,本地
15188888919,15088888215,1492095656,223,本地
15188888919,15888888371,1449827089,827,本地
15188888919,13588888839,1450537793,2665,本地
15188888919,15588888262,1462877211,362,本地
15188888919,15188888729,1420248495,2108,本地
15188888919,13088888734,1459915441,472,本地
15188888919,13388888720,1453362561,1763,本地
15188888919,15388888436,1434541982,435,本地
15188888919,13188888887,1442589634,1863,本地
15188888919,15288888559,1438262290,2901,本地
15188888919,15988888391,1475149954,321,本地
15188888919,13088888468,1465812622,3035,本地
15188888919,15688888149,1451006565,3325,本地
15188888919,13588888704,1418501486,1410,本地
15188888919,15688888835,1401196409,1648,本地
15188888919,15388888930,1474957057,2906,本地
15188888919,15588888832,1439462380,2401,本地
15188888919,13288888242,1468511825,2692,本地
15188888919,13188888830,1410948379,3342,本地
15188888919,15288888540,1416278261,2023,本地
15188888919,15188888957,1489792009,1035,本地
15188888919,15988888467,1437224715,955,本地
15188888919,13188888260,1450463342,2584,本地
15188888919,13188888868,1437071359,1853,本地
15188888919,15288888597,1422051356,1388,本地
15188888919,15888888523,1481565075,3456,本地
15188888919,13088888430,1411910595,2016,本地
15188888919,13888888422,1477547284,193,本地
15188888919,13188888678,1461700044,3252,本地
15188888919,13288888755,1441210278,3220,本地
15188888919,13788888687,1443238929,182,本地
13088888831,15888888523,1474216456,3481,本地
13088888831,15088888863,1403026582,296,本地
13088888831,15688888947,1470192955,1661,本地
13088888831,13888888992,1467876733,3584,本地
13088888831,15588888623,1476156164,696,本地
13088888831,13988888860,1431712251,1411,本地
13088888831,15688888358,1405765678,333,本地
13088888831,13388888568,1444603541,2502,本地
13088888831,13788888402,1459073034,2262,本地
13088888831,15788888408,1424161527,638,本地
13088888831,15788888161,1429532842,1455,本地
13088888831,15888888960,1450319163,2832,本地
13088888831,15688888966,1469090895,2683,本地
13088888831,15788888655,1451127265,2012,本地
13088888831,15288888901,1478123458,1855,本地
13088888831,13488888760,1475321345,2860,本地
13088888831,15988888106,1481479657,427,本地
13088888831,15988888828,1434145209,2300,本地
13088888831,15588888338,1462634087,2901,本地
13088888831,15388888436,1492416401,2417,本地
13088888831,15888888848,1441025982,2572,本地
13088888831,13588888400,1487349883,280,本地
13088888831,13488888722,1439215819,2500,本地
13088888831,15588888509,1487197382,2078,本地
13088888831,15688888700,1440245932,3511,本地
13088888831,13788888212,1474986137,2770,本地
13088888831,15788888275,1402623596,3051,本地
13088888831,13688888648,1452668283,2559,本地
13088888831,13288888413,1486984066,209,本地
13088888831,13488888836,1407037758,2214,本地
13088888831,13688888840,1419792664,1387,本地
13088888831,13588888875,1416591016,1065,本地
13988888917,15988888486,1467787307,1993,本地
13988888917,15588888452,1400811255,3000,本地
13988888917,13788888326,1415296506,221,本地
13988888917,15888888848,1490702613,619,本地
13988888917,13288888852,1452886367,1423,本地
13988888917,15188888273,1415180167,3240,本地
13988888917,13288888261,1414508102,2988,本地
13988888917,15388888664,1414059856,3001,本地
13988888917,15288888865,1458209293,456,本地
13988888917,13088888772,1422711391,1136,本地
13988888917,13588888248,1413942689,207,本地
13988888917,13688888363,1413763364,1471,本地
13988888917,13188888659,1405913683,2470,本地
13988888917,13488888266,1486863746,1091,本地
13988888917,13288888736,1410271527,1389,本地
13988888917,13488888646,1480539757,3372,本地
13988888917,13388888853,1461920350,1556,本地
